"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Creation of new project named 'QASE' with access mode 'Public'","4676","Create project with public access.","QASE","Thu Jan 23 15:27:53 GMT 2025","passed","Thu Jan 23 15:27:57 GMT 2025","tests.ui.ProjectTest","Edge","tests.ui.ProjectTest","checkCreatePublicProject"
"Creation of new project named 'QASE' with access mode 'Private' for specific group.","5087","Create project with private access (group mode).","QASE","Thu Jan 23 15:16:57 GMT 2025","passed","Thu Jan 23 15:17:02 GMT 2025","tests.ui.ProjectTest","Chrome","tests.ui.ProjectTest","checkCreatePrivateProjectGroupAccess"
"Check case creation via UI with steps button with precondition: project creation using API.","40668","Test case creation","QASE","Thu Jan 23 15:29:23 GMT 2025","passed","Thu Jan 23 15:30:04 GMT 2025","tests.ui.TestCaseTest","Edge","tests.ui.TestCaseTest","checkCreateCaseWithSteps"
"Check suite creation via UI button '+ Suite' with precondition: project creation using API.","39140","Test suite creation","QASE","Thu Jan 23 15:19:45 GMT 2025","passed","Thu Jan 23 15:20:24 GMT 2025","tests.ui.TestSuiteTest","Chrome","tests.ui.TestSuiteTest","checkCreateSuiteTop"
"Check case creation via UI using '+ Case' button with precondition: project creation using API.","42291","Test case creation","QASE","Thu Jan 23 15:28:40 GMT 2025","passed","Thu Jan 23 15:29:22 GMT 2025","tests.ui.TestCaseTest","Edge","tests.ui.TestCaseTest","checkCreateCaseTop"
"Check test plan modification via UI with precondition: project, case and plan creation using API.","41606","Test plan modification","QASE","Thu Jan 23 15:37:39 GMT 2025","passed","Thu Jan 23 15:38:20 GMT 2025","tests.ui.TestPlanTest","Edge","tests.ui.TestPlanTest","checkEditPlan"
"Check case creation via UI using 'Create new case' button with precondition: project creation using API.","22260","Test case creation","QASE","Thu Jan 23 15:17:26 GMT 2025","passed","Thu Jan 23 15:17:48 GMT 2025","tests.ui.TestCaseTest","Chrome","tests.ui.TestCaseTest","checkCreateCaseMain"
"Create new project using available API functions","1753","Create project using API.","QASE","Thu Jan 23 15:16:25 GMT 2025","passed","Thu Jan 23 15:16:27 GMT 2025","tests.api.ProjectTest","API","tests.api.ProjectTest","createNewProject"
"Test full defect cycle using all API functions.","1195","Check full defect cycle","QASE","Thu Jan 23 15:16:37 GMT 2025","passed","Thu Jan 23 15:16:38 GMT 2025","tests.api.DefectTest","API","tests.api.DefectTest","checkFullDefectCycle"
"Creation of new project named 'QASE'","5191","Create project with filled name.","QASE","Thu Jan 23 15:27:38 GMT 2025","passed","Thu Jan 23 15:27:43 GMT 2025","tests.ui.ProjectTest","Edge","tests.ui.ProjectTest","checkCreateProjectNameOnly"
"Check defect creation via UI with precondition: project creation using API.","36403","Test defect creation","QASE","Thu Jan 23 15:21:40 GMT 2025","passed","Thu Jan 23 15:22:16 GMT 2025","tests.ui.DefectTest","Chrome","tests.ui.DefectTest","checkCreateDefect"
"Check suite edit via UI with preconditions: project and suite creation using API.","36773","Test suite modification","QASE","Thu Jan 23 15:21:03 GMT 2025","passed","Thu Jan 23 15:21:40 GMT 2025","tests.ui.TestSuiteTest","Chrome","tests.ui.TestSuiteTest","checkEditSuite"
"Create test run using API functions.","1787","Create test run by API","QASE","Thu Jan 23 15:16:47 GMT 2025","passed","Thu Jan 23 15:16:48 GMT 2025","tests.api.RunsTest","API","tests.api.RunsTest","completeTestRun"
"Test full defect cycle using all API functions.","1109","Check defect creation","QASE","Thu Jan 23 15:16:35 GMT 2025","passed","Thu Jan 23 15:16:37 GMT 2025","tests.api.DefectTest","API","tests.api.DefectTest","checkCreateDefect"
"Check defect modification via UI with preconditions: project and defect creation using API.","36513","Test defect modification","QASE","Thu Jan 23 15:22:53 GMT 2025","passed","Thu Jan 23 15:23:30 GMT 2025","tests.ui.DefectTest","Chrome","tests.ui.DefectTest","checkEditDefect"
"Creation of new project named 'QASE' and with code 'AQ'","6950","Create project with filled name and code.","QASE","Thu Jan 23 15:27:44 GMT 2025","passed","Thu Jan 23 15:27:51 GMT 2025","tests.ui.ProjectTest","Edge","tests.ui.ProjectTest","checkCreateProjectWithRequiredFields"
"Test full defect cycle using all API functions.","1241","Change defect status","QASE","Thu Jan 23 15:16:34 GMT 2025","passed","Thu Jan 23 15:16:35 GMT 2025","tests.api.DefectTest","API","tests.api.DefectTest","checkChangeDefectStatus"
"Check defect modification via UI with preconditions: project and defect creation using API.","37294","Test defect modification","QASE","Thu Jan 23 15:34:05 GMT 2025","passed","Thu Jan 23 15:34:42 GMT 2025","tests.ui.DefectTest","Edge","tests.ui.DefectTest","checkEditDefect"
"Check test plan modification via UI with precondition: project, case and plan creation using API.","35763","Test plan modification","QASE","Thu Jan 23 15:26:21 GMT 2025","passed","Thu Jan 23 15:26:56 GMT 2025","tests.ui.TestPlanTest","Chrome","tests.ui.TestPlanTest","checkEditPlan"
"Check suite creation via UI button 'Create new suite' with precondition: project creation using API.","40608","Test suite creation","QASE","Thu Jan 23 15:30:06 GMT 2025","passed","Thu Jan 23 15:30:46 GMT 2025","tests.ui.TestSuiteTest","Edge","tests.ui.TestSuiteTest","checkCreateSuiteMain"
"Update created test suite using API.","1392","Update created suite.","QASE","Thu Jan 23 15:16:32 GMT 2025","passed","Thu Jan 23 15:16:33 GMT 2025","tests.api.SuitTest","API","tests.api.SuitTest","updateTestSuite"
"Creation of new project named 'QASE' and with code 'AQ'","4508","Create project with filled name and code.","QASE","Thu Jan 23 15:17:13 GMT 2025","passed","Thu Jan 23 15:17:18 GMT 2025","tests.ui.ProjectTest","Chrome","tests.ui.ProjectTest","checkCreateProjectWithRequiredFields"
